Nom;co OACI
Ambérieu;LFXA
 Bellegar - Vouvray;LFHN
 Bourg - Ceyzériat;LFHS
Genève;LSGG
Oyonnax - Arbent;LFLK
 Belley - Peyrieu;LFKY
Altiport  Corlier;LFJD
 Pérouges - Meximieux;LFHC
 Laon - Chambry;LFAF
 Laon - Couvron;
 Laon - Athies;
 Saint-Quentin - Roupy;LFOW
Château-Thierry - Belleau;LFFH
Saint-Simon - Clastres;LFYT
 Soissons - Courmelles;LFJS
 Lurcy-Lévis;LFJU
 Moulins - Montbeugny;LFHY
 Lapalisse - Périgny;LFHX
 Montluçon - Domérat;LFLT
Vichy — Charmeil;LFLV
Barcelonnette - Saint-Pons;LFMR
Château-Arnoux-Saint-Auban;LFMX
Puimoisson;LFTP
  Sisteron-Thèze;LFNS
Aspres-sur-Buëch;LFNJ
  Gap - Tallard;LFNA
  Mont-Dauphin - Saint-Crépin;LFNC
  Serres - La Bâtie-Montsaléon;LFTM
Altisurface  Saint-Étienne-en-Dévoluy;LFNY
  Cannes - Manlieu;LFMD
  Nice-Côte d'Azur;LFMN
 Aubenas Ardèche méridionale;LFHO
  Langogne - Lespéron;LFHL
  Ruoms;LFHF
  Sedan - Douzy;LFSJ
  Charleville-Mézières - Belval;LFQV
  Rethel - Perthes;LFAP
  Saint-Girons - Antichan;LFCG
  Pamiers - Les Pujols;LFDJ
  Troyes - Barberey;LFQB
  Brienne-le-Château;LFFN
  Romilly-sur-Seine;LFQR
  Bar-sur-Seine;LFFR
  Juvancourt;LFQX
  Carcassonne Salvaza;LFMK
  Lézignan-Corbières;LFMZ
  la Montagne Noire;LFMG
  Narbonne-Vinassan;LFNN
  Castelnaudary - Villeneuve;LFMW
  Roz-Aveyron;LFCR
  Saint-Affrique - Belmont;LFIF
  Cassagnes-Bégonhès;LFIG
  Millau-Larzac;LFCM
  Villefranche--Rouergue;LFCV
 Aix - Les Milles;LFMA
  Berre - La Fare;LFNR
Hydro  Marignane - Berre;LFTB
 Marseille Provence;LFML
  Mazet  Romanin;LFNZ
  Salon - Eyguières;LFNE
Istres - Le Tubé;LFMI
Base aérienne  Salon--Provence;LFMY
  Caen - Carpiquet;LFRK
  Deauville - Normandie;LFRG
  Falaise-Mont d'Eraines;LFAS
  Condé-sur-Noireau;LFAN
 Aurillac;LFLW
  Saint-Flour - Coltines;LFHQ
Angoulême-Cognac;LFBU
  Chalais;LFIH
  Jonzac - Neulles;LFCJ
  Marennes;LFJI
  Pons - Avy;LFCP
  Rochefort - Charente-Maritime;LFDN
  Rochefort - Soubise;LFXR
  La Rochelle - île de Ré;LFBH
  Royan - Médis;LFCY
  Saintes - Thénac;LFXB
  Saint-Jean-d'Angély - Saint-nis-du-Pin;LFIY
  Saint-Pierre-d'Oléron;LFDP
  Bourges;LFLD
Aubigny-sur-Nère;LFEH
Avord;LFOA
  Châteauneuf-sur-Cher;LFFU
  Vierzon - Méreau;LFFV
  Brive-Laroche;LFBV
  Brive-Souillac;LFSL
Égletons;LF
Ussel - Thalamy;LFCU
Ajaccio Napoléon Bonaparte;LFKJ
  Figari Sud Corse;LFKF
  Propriano;LFKO
  Bastia Poretta;LFKB
  Calvi-Sainte-Catherine;LFKC
  Corte;LFKT
  Ghisonaccia Alzitone;LFKG
  Beaune - Challanges;LFGF
  Cessey;LFSY
  Châtillon-sur-Seine;LFQH
  Dijon - Darois;LFGI
  Dijon-Bourgogne;LFSD
  Nuits-Saint-Georges;LFGZ
  Pouilly - Maconge;LFEP
  Saulieu - Liernais;LFEW
  Semur-en-Auxois;LFGQ
  Til-Châtel;LFET
  Dinan - Trélivan;LFEB
  Lannion;LFRO
  Saint-Brieuc Armor;LFRT
  Montluçon Guéret;LFBK
  Guéret - Saint-Laurent;LFCE
 Bergerac Dordogne Périgord;LFBE
  Condat-sur-Vézère;LFDZ
 Périgueux-Bassillac;LFBX
  Sarlat - Domme;LFDS
  Belvès - Saint-Pardoux;LFIB
  Ribérac - Saint-Aulaye;LFIK
  Sainte-Foy-la-Gran;LFDF
  Besançon - La Vèze;LFQM
  Besançon - Thise;LFSA
  Montbéliard - Courcelles;LFSM
  Pontarlier;LFSP
Base aérienne du Valdahon;LFXH
  Romans - Saint-Paul;LFHE
  Valence-Chabeuil;LFLU
  Pierrelatte;LFHD
  Saint-Rambert-d'Albon;LFLR
 Aubenasson;LFJF
Altiport  La Motte-Chalancon;LFJE
  Montélimar - Ancône;LFLQ
  Saint-Jean-en-Royans;LFKE
  Saint-André--l'Eure;LFFD
  Bernay - Saint-Martin;LFPD
 Étrépagny;LFFY
Base aérienne 105 Évreux-Fauville;LFOE
  Bailleau-Armenonville;LFFL
  Chartres;LFOR
Base aérienne 279 Châteaudun;LFOC
  Dreux - Vernouillet;LFON
  Morlaix Ploujean;LFRU
  Brest-Bretagne;LFRB
  Quimper Cornouaille;LFRQ
Base d'aéronautique navale  Landivisiau;LFRJ
Base d'aéronautique navale  Lanvéoc-Poulmic;LFRL
 Ouessant;LFEC
 Avignon - Pujaut;LFNT
 Alès Cévennes;LFMS
  La Grand'Combe;LFTN
  Nîmes-Courbessac;LFME
  Nîmes-Garons;LFTW
 Uzès;LFNU
  Bagnères--Luchon;LFCB
  Cazères - Palaminy;LFJH
  Francazal;LFBF
  Muret - Lherm;LFBR
  Revel - Montgey;LFIR
  Saint-Gauns - Montréjeau;LFIM
 Toulouse-Blagnac;LFBO
  Toulouse - Bourg-Saint-Bernard;LFIT
  Toulouse - Lasbors;LFCL
  Toulouse-Montaudran;LFIO
  Sabonnères;LF3126
 Auch - Gers;LFDH
  Condom - Valence-sur-Baïse;LFID
  Nogaro;LFCN
 Anrnos-les-Bains;LFCD
 Arcachon - La Teste--Buch;LFCH
  Boraux - Léognan - Saucats;LFCS
  Boraux - Mérignac;LFBD
  Boraux - Souge;LFDO
  Boraux - Yvrac;LFDY
  Libourne - Artigues--Lussac;LFDI
Base aérienne 120 Cazaux;LFBC
  La Réole - Floudès;LFDR
  Lesparre - Saint-Laurent-Médoc;LFDU
  Montendre - Marcillac;LFDC
  Soulac-sur-Mer;LFDK
  Vendays-Montalivet;LFIV
  Montpellier-Méditerranée;LFMT
  Bédarieux - La Tour-sur-Orb;LFNX
  Béziers-Cap d'Ag;LFMU
  Montpellier - Candillargues;LFNG
  Pézenas - Nizas;LFNP
  Saint-Martin--Londres;LFNL
  Dinard Pleurtuit Saint-Malo;LFRD
  Rennes - Saint-Jacques;LFRN
  Redon - Bains-sur-Oust;LFER
  Grand-Fougeray - Saint-Sulpice-s-Lans;LFSS
  Saint-Malo - Saint-Servan;LFEO
 Issoudun - Le Fay;LFEK
 Argenton-sur-Creuse;LFEG
  Blanc;LFEL
  Châteauroux - Villers;LFEJ
  Châteauroux - Déols;LFLX
 Amboise - Dierre;LFEF
  Tours - Sorigny;LFEN
  Tours - Le Louroux;LFJT
  Tours Val  Loire;LFOT
 International  Grenoble-Isère;LFLS
  Grenoble - Le Versoud;LFLG
Altiport  l'Alpe d'Huez;LFHU
  La Tour-du-Pin - Cessieu;LFKP
  Morestel;LFHI
  Saint-Jean-d'Avelanne;LFKH
  Vienne - Reventin;LFHH
  Dole-Jura;LFGJ
 Arbois;LFGD
  Champagnole - Crotenay;LFGX
  Lons-le-Saunier - Courlaoux;LFGL
 Grands Lacs;LFBS
 Aire-sur-l'Adour;LFDA
  Dax - Seyresse;LFBY
  Mimizan;LFCZ
Base aérienne 118 Mont--Marsan;LFBM
  Rion-s-Lans;LFIL
  Blois - Le Breuil;LFOQ
  Romorantin-Pruniers;LFYR
  Lamotte-Beuvron;LFFM
  Roanne-Renaison;LFLO
  Feurs - Chambéon;LFLZ
  Saint-Chamond - L'Horme;LFHG
  Saint-Étienne - Loire;LFMH
  Saint-Galmier;LFKM
  Briou - Beaumont;LFHR
  Puy - Lous;LFHP
 Ancenis;LFFI
  La Baule-Escoublac;LFRE
 Nantes Atlantique;LFRS
  Saint-Nazaire - Montoir;LFRZ
  Montargis - Vimory;LFEM
 Orléans - Saint-nis--l'Hôtel;LFOZ
  Briare - Châtillon;LFEI
Base aérienne d'Orléans - Bricy;LFOJ
  Pithiviers;LFFP
  Cahors - Lalbenque;LFCC
  Figeac-Livernon;LFCF
  Marman - Virazeil;LFDM
 Agen-La Garenne;LFBA
  Fumel - Montayral;LFDX
  Villeneuve-sur-Lot;LFCW
  Florac - Sainte-Enimie;LFNO
  Men - Brenoux;LFNB
Angers Loire ;LFJR
  Cholet - Le Pontreau;LFOU
  Saumur - Saint-Florent;LFOD
  Châteaubriant - Pouancé;LFTQ
 Angers - Avrillé;LFRA
 Avranches - Le Val-Saint-Père;LFRW
  Cherbourg - Maupertus;LFRC
  Granville-Mont-Saint-Michel;LFRF
  Lessay;LFOM
  Vauville;LFAU
